127.0.0.1 - - [07/Nov/2023:20:05:30 +0900] "GET / HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:05:31 +0900] "GET / HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:05:31 +0900] "GET /resources/css/main.css HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:05:31 +0900] "GET /resources/js/main.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:05:32 +0900] "GET /resources/images/back.png HTTP/1.1" 200 1639504
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:05:32 +0900] "GET /favicon.ico HTTP/1.1" 404 180
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:08:26 +0900] "GET / HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:08:26 +0900] "GET /resources/css/main.css HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:08:26 +0900] "GET /resources/js/main.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [07/Nov/2023:20:08:26 +0900] "GET /resources/images/back.png HTTP/1.1" 200 1639504
